Work_ID,State,District,Work_Type,Sanction_Amount,Estimated_Cost,Expenditure,Progress_Percentage,Delay_Days,Implementing_Agency,Status,Latitude,Longitude,Anomaly,Anomaly_Status,Anomaly_Score,Risk_Score,Risk_Level,Risk_Reasons
MPLADS_0050,Tamil Nadu,District_3,Drinking Water,4141373,1013544,3434404,97,363,Agency_14,Delayed,9.391539,79.324574,1,Normal,0.030044853052129,50,MEDIUM,"High expenditure, Severe project delay, High sanctioned amount"
MPLADS_0051,Kerala,District_15,Hospital,2308233,2476062,919121,53,458,Agency_3,Completed,8.354249,76.281713,1,Normal,0.0718287550848218,25,LOW,Severe project delay
MPLADS_0052,Telangana,District_6,Community Hall,3061165,4928274,3631301,61,139,Agency_5,Not Started,18.926081,80.531709,1,Normal,0.0608466850202408,45,MEDIUM,"Expenditure exceeds sanctioned amount, Project delay"
MPLADS_0053,Telangana,District_17,Road,2782406,655751,2150314,68,189,Agency_7,Not Started,17.202535,80.320778,1,Normal,0.1070750407809954,25,LOW,Severe project delay
MPLADS_0054,Andhra Pradesh,District_12,Road,1236430,1788614,4076981,81,401,Agency_1,In Progress,13.330169,83.556264,1,Normal,0.06924099775729,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0055,Telangana,District_22,Drainage,4205304,3482338,4477801,15,93,Agency_12,In Progress,16.322704,78.709692,1,Normal,0.0267225862733955,75,HIGH,"Expenditure exceeds sanctioned amount, Project delay, Low progress with high expenditure, High sanctioned amount"
MPLADS_0056,Maharashtra,District_20,Road,3859395,523656,2219465,7,491,Agency_11,Completed,20.78242,73.844315,1,Normal,0.0278703410516749,25,LOW,Severe project delay
MPLADS_0057,Telangana,District_24,Hospital,3957297,1008379,2135629,88,495,Agency_8,Not Started,16.739931,79.94456,1,Normal,0.0236594721984841,25,LOW,Severe project delay
MPLADS_0058,Tamil Nadu,District_29,Hospital,2779737,4861889,2193525,95,228,Agency_6,Not Started,12.032205,78.89282,1,Normal,0.0390371764912609,25,LOW,Severe project delay
MPLADS_0059,Tamil Nadu,District_11,School,2709786,2951884,4084669,89,62,Agency_2,In Progress,11.886111,78.479443,1,Normal,0.063605716830165,30,LOW,Expenditure exceeds sanctioned amount
MPLADS_0060,Tamil Nadu,District_25,School,1210714,4077187,703464,85,339,Agency_19,In Progress,9.410075,77.651923,1,Normal,0.0599693796347308,25,LOW,Severe project delay
MPLADS_0061,Tamil Nadu,District_4,Road,362916,56464,728730,30,24,Agency_14,Completed,9.016947,80.015492,-1,Anomaly,-0.0153043775701521,70,HIGH,"Expenditure exceeds sanctioned amount, Low progress with high expenditure, AI detected unusual pattern"
MPLADS_0062,Maharashtra,District_26,Community Hall,4185316,1639426,1587415,9,267,Agency_1,Not Started,19.392047,75.927067,1,Normal,0.0611147716471528,35,MEDIUM,"Severe project delay, High sanctioned amount"
MPLADS_0063,Karnataka,District_28,School,4284453,3775530,4272663,55,404,Agency_10,Delayed,14.734041,78.357503,1,Normal,0.0560870804597571,50,MEDIUM,"High expenditure, Severe project delay, High sanctioned amount"
MPLADS_0064,Kerala,District_26,School,398844,1211140,3603824,75,280,Agency_16,In Progress,8.905416,76.324198,1,Normal,0.0671501882615655,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0065,Andhra Pradesh,District_6,Hospital,3030342,1468767,4678223,91,10,Agency_4,Completed,15.938865,81.652779,1,Normal,0.0024967016315261,30,LOW,Expenditure exceeds sanctioned amount
MPLADS_0066,Tamil Nadu,District_1,Community Hall,3674656,3663163,1368356,69,319,Agency_11,Not Started,8.101417,79.86292,1,Normal,0.0867690317648677,25,LOW,Severe project delay
MPLADS_0067,Telangana,District_20,Drainage,4372751,2704074,1525719,19,200,Agency_16,Not Started,19.621685,79.347506,1,Normal,0.0769771497409965,35,MEDIUM,"Severe project delay, High sanctioned amount"
MPLADS_0068,Tamil Nadu,District_23,Road,2608845,1885068,4151426,4,125,Agency_1,In Progress,11.901245,80.074497,1,Normal,0.056383463730704,65,HIGH,"Expenditure exceeds sanctioned amount, Project delay, Low progress with high expenditure"
MPLADS_0069,Telangana,District_28,School,1662033,1894277,826117,22,305,Agency_16,Completed,18.699678,77.779648,1,Normal,0.0836216324932776,25,LOW,Severe project delay
MPLADS_0070,Kerala,District_16,Community Hall,2981531,315039,847566,8,189,Agency_19,Delayed,10.850926,76.377459,1,Normal,0.0431098219443605,25,LOW,Severe project delay
MPLADS_0071,Kerala,District_15,Community Hall,3374024,1441579,1166543,57,88,Agency_9,In Progress,10.151001,76.714755,1,Normal,0.078031146822609,0,LOW,No major risk detected
MPLADS_0072,Kerala,District_17,Road,4925217,2126259,104455,58,354,Agency_9,Completed,12.498088,77.206478,1,Normal,0.0207222337392359,35,MEDIUM,"Severe project delay, High sanctioned amount"
MPLADS_0073,Telangana,District_8,Community Hall,3518282,2251279,1519639,92,115,Agency_9,Not Started,17.648441,77.630305,1,Normal,0.0628928475468211,15,LOW,Project delay
MPLADS_0074,Tamil Nadu,District_28,Community Hall,1464474,4340730,1233981,79,351,Agency_17,Delayed,13.515111,79.723372,1,Normal,0.0703399896199194,40,MEDIUM,"High expenditure, Severe project delay"
MPLADS_0075,Kerala,District_26,Community Hall,403039,3096672,2346798,53,176,Agency_12,Completed,8.773448,77.194189,1,Normal,0.0826771568399982,45,MEDIUM,"Expenditure exceeds sanctioned amount, Project delay"
MPLADS_0076,Maharashtra,District_12,School,1411425,1110538,4394241,45,13,Agency_13,Delayed,21.254326,76.906356,1,Normal,0.0268376417628699,30,LOW,Expenditure exceeds sanctioned amount
MPLADS_0077,Telangana,District_27,Road,2340146,1446102,2579464,21,256,Agency_8,Completed,18.224229,78.71621,1,Normal,0.0956100643434385,75,HIGH,"Expenditure exceeds sanctioned amount, Severe project delay, Low progress with high expenditure"
MPLADS_0078,Telangana,District_22,Community Hall,3007498,54011,2168344,63,208,Agency_16,Completed,16.024523,78.47375,1,Normal,0.0783548294604805,25,LOW,Severe project delay
MPLADS_0079,Tamil Nadu,District_21,Community Hall,1619720,2014724,845165,7,280,Agency_18,Completed,12.495979,76.219454,1,Normal,0.0698467066988319,25,LOW,Severe project delay
MPLADS_0080,Telangana,District_10,School,1177787,4264086,3390889,19,442,Agency_1,Completed,17.167347,78.713041,1,Normal,0.0518375747513348,75,HIGH,"Expenditure exceeds sanctioned amount, Severe project delay, Low progress with high expenditure"
MPLADS_0081,Telangana,District_27,Road,1985657,482941,1744428,50,327,Agency_1,Delayed,18.003322,80.695451,1,Normal,0.0862317021257197,40,MEDIUM,"High expenditure, Severe project delay"
MPLADS_0082,Kerala,District_15,Hospital,2032539,3239187,3832069,77,324,Agency_12,In Progress,9.793192,75.702078,1,Normal,0.0943430773481152,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0083,Tamil Nadu,District_9,School,3621387,2758685,4490591,38,388,Agency_6,Delayed,12.130007,78.099315,1,Normal,0.0729577043757732,75,HIGH,"Expenditure exceeds sanctioned amount, Severe project delay, Low progress with high expenditure"
MPLADS_0084,Kerala,District_2,Road,4964150,653151,2053683,36,104,Agency_9,Completed,9.233182,75.976343,1,Normal,0.0463051915729617,25,LOW,"Project delay, High sanctioned amount"
MPLADS_0085,Kerala,District_5,Community Hall,1759813,1873327,3154787,49,482,Agency_5,Delayed,8.847942,75.258606,1,Normal,0.0690638394688621,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0086,Tamil Nadu,District_6,Road,959210,3976449,2822789,33,146,Agency_16,Delayed,10.79086,77.959487,1,Normal,0.0776982915424797,65,HIGH,"Expenditure exceeds sanctioned amount, Project delay, Low progress with high expenditure"
MPLADS_0087,Andhra Pradesh,District_7,Road,2002026,1890277,3262772,74,278,Agency_18,Delayed,18.637983,79.635391,1,Normal,0.1136200425200433,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0088,Kerala,District_21,Drainage,82766,4550328,1563749,32,8,Agency_17,Completed,10.870706,76.443887,-1,Anomaly,-0.0220575166799888,70,HIGH,"Expenditure exceeds sanctioned amount, Low progress with high expenditure, AI detected unusual pattern"
MPLADS_0089,Maharashtra,District_25,Road,4800014,4358307,2288214,30,117,Agency_18,Delayed,15.685114,78.10736,1,Normal,0.0492471589213378,25,LOW,"Project delay, High sanctioned amount"
MPLADS_0090,Maharashtra,District_1,Hospital,4518653,4494910,466104,53,93,Agency_1,Not Started,16.757234,80.576884,1,Normal,0.0235807977442054,25,LOW,"Project delay, High sanctioned amount"
MPLADS_0091,Telangana,District_23,Road,4724110,781636,2176503,43,433,Agency_19,Completed,16.409517,78.775572,1,Normal,0.0408821870155509,35,MEDIUM,"Severe project delay, High sanctioned amount"
MPLADS_0092,Maharashtra,District_26,Hospital,1510235,4804489,244085,33,143,Agency_8,Delayed,16.154773,80.874056,1,Normal,0.0285631636877772,15,LOW,Project delay
MPLADS_0093,Telangana,District_7,Community Hall,1508316,736290,768171,70,288,Agency_3,Not Started,17.859,79.462463,1,Normal,0.0707548326413048,25,LOW,Severe project delay
MPLADS_0094,Andhra Pradesh,District_20,Hospital,1477197,1811169,508095,61,385,Agency_5,Delayed,13.042705,82.77468,1,Normal,0.0796115282052414,25,LOW,Severe project delay
MPLADS_0095,Tamil Nadu,District_25,Community Hall,4178784,1830832,2177461,22,13,Agency_8,In Progress,9.175471,79.971828,1,Normal,0.0433125111896687,10,LOW,High sanctioned amount
MPLADS_0096,Tamil Nadu,District_12,Community Hall,4683662,3266662,4890397,45,493,Agency_19,Delayed,9.148782,77.000888,-1,Anomaly,-0.0126291489249081,85,CRITICAL,"Expenditure exceeds sanctioned amount, Severe project delay, High sanctioned amount, AI detected unusual pattern"
MPLADS_0097,Tamil Nadu,District_16,Hospital,4982048,2414825,1177732,55,256,Agency_18,Delayed,8.204678,78.182681,1,Normal,0.0473099039763875,35,MEDIUM,"Severe project delay, High sanctioned amount"
MPLADS_0098,Maharashtra,District_16,School,3911460,3972380,2445296,6,345,Agency_18,In Progress,19.271467,73.145382,1,Normal,0.0545825033491699,25,LOW,Severe project delay
MPLADS_0099,Andhra Pradesh,District_11,Drinking Water,3103380,2503894,1500424,88,185,Agency_1,Completed,17.718482,80.37164,1,Normal,0.0841575823284276,25,LOW,Severe project delay
MPLADS_0100,Maharashtra,District_21,Road,361385,2230139,31576,60,344,Agency_15,In Progress,19.008537,76.258331,1,Normal,0.0188235203033415,25,LOW,Severe project delay
MPLADS_0101,Maharashtra,District_4,Drainage,3657323,3769194,3683336,2,399,Agency_18,Completed,18.20496,77.245015,1,Normal,0.0369834768497853,75,HIGH,"Expenditure exceeds sanctioned amount, Severe project delay, Low progress with high expenditure"
MPLADS_0102,Andhra Pradesh,District_13,Drinking Water,983476,3333737,2773262,37,206,Agency_7,In Progress,13.624586,78.173618,1,Normal,0.096870016661304,75,HIGH,"Expenditure exceeds sanctioned amount, Severe project delay, Low progress with high expenditure"
MPLADS_0103,Andhra Pradesh,District_7,Road,1978854,1482672,2734442,83,345,Agency_16,Delayed,18.287785,84.363535,1,Normal,0.0947878926966769,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0104,Andhra Pradesh,District_4,Road,859359,614174,3340263,33,430,Agency_16,Delayed,15.063841,78.893032,1,Normal,0.043610053169629,75,HIGH,"Expenditure exceeds sanctioned amount, Severe project delay, Low progress with high expenditure"
MPLADS_0105,Andhra Pradesh,District_15,Community Hall,2262809,1672563,3675842,43,171,Agency_15,Completed,16.850397,80.010747,1,Normal,0.1049074153697422,45,MEDIUM,"Expenditure exceeds sanctioned amount, Project delay"
MPLADS_0106,Tamil Nadu,District_19,Road,3000214,2578474,2747968,29,463,Agency_6,Completed,8.142164,76.855841,1,Normal,0.0734011332877302,60,MEDIUM,"High expenditure, Severe project delay, Low progress with high expenditure"
MPLADS_0107,Karnataka,District_9,Drainage,2251580,2257928,2801338,16,269,Agency_9,Not Started,16.511806,77.03105,1,Normal,0.105875309931988,75,HIGH,"Expenditure exceeds sanctioned amount, Severe project delay, Low progress with high expenditure"
MPLADS_0108,Karnataka,District_11,Road,1544139,3821460,2196203,58,220,Agency_7,Not Started,11.689672,75.021072,1,Normal,0.1083166297774389,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0109,Andhra Pradesh,District_8,Hospital,3059828,2515596,2921451,9,151,Agency_14,Delayed,14.125094,82.142331,1,Normal,0.0919964075019911,50,MEDIUM,"High expenditure, Project delay, Low progress with high expenditure"
MPLADS_0110,Karnataka,District_1,Drinking Water,4202092,4455113,3347031,98,110,Agency_11,Delayed,11.637974,74.478899,1,Normal,0.0180320913490585,25,LOW,"Project delay, High sanctioned amount"
MPLADS_0111,Karnataka,District_23,Hospital,1840146,1463967,2310457,83,182,Agency_16,Not Started,17.099413,74.821305,1,Normal,0.1005122336982219,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0112,Andhra Pradesh,District_25,Drainage,119518,3437990,3462550,17,398,Agency_6,Not Started,16.908124,78.629281,1,Normal,0.0241309021445504,75,HIGH,"Expenditure exceeds sanctioned amount, Severe project delay, Low progress with high expenditure"
MPLADS_0113,Karnataka,District_24,Road,226355,4777589,3955123,44,338,Agency_16,Completed,12.19609,75.118592,1,Normal,0.0342122575921527,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0114,Maharashtra,District_8,Drainage,1966334,3301830,2564728,90,71,Agency_16,In Progress,20.294735,79.702281,1,Normal,0.0753258310217235,30,LOW,Expenditure exceeds sanctioned amount
MPLADS_0115,Telangana,District_13,Community Hall,2814717,3461097,4778026,58,417,Agency_12,Completed,19.203901,78.709297,1,Normal,0.0517131279738766,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0116,Telangana,District_22,Hospital,170243,1732978,2173769,61,385,Agency_17,Not Started,18.539149,77.97894,1,Normal,0.0592088089357906,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0117,Andhra Pradesh,District_27,Hospital,3249039,3124126,4093501,58,282,Agency_5,Delayed,14.534775,83.96032,1,Normal,0.0981844590154611,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0118,Tamil Nadu,District_4,School,1747818,2669222,4846161,48,73,Agency_13,Not Started,8.072811,76.559136,1,Normal,0.050057177987593,30,LOW,Expenditure exceeds sanctioned amount
MPLADS_0119,Andhra Pradesh,District_8,Road,2826374,1985772,1790248,99,354,Agency_8,Delayed,13.972049,76.914911,1,Normal,0.0468983530501266,25,LOW,Severe project delay
MPLADS_0120,Tamil Nadu,District_3,Community Hall,2368620,4618672,2618026,62,214,Agency_5,Delayed,9.016038,78.648775,1,Normal,0.0923745848753768,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0121,Telangana,District_29,Hospital,3537379,2472952,4805817,86,496,Agency_12,Delayed,17.527841,80.592153,-1,Anomaly,-0.0151001646254677,75,HIGH,"Expenditure exceeds sanctioned amount, Severe project delay, AI detected unusual pattern"
MPLADS_0122,Andhra Pradesh,District_9,Hospital,2610837,3272018,2190019,31,327,Agency_9,Delayed,17.995128,79.468721,1,Normal,0.0995289845673408,60,MEDIUM,"High expenditure, Severe project delay, Low progress with high expenditure"
MPLADS_0123,Kerala,District_29,Community Hall,3724942,1911663,789957,9,475,Agency_3,In Progress,9.393348,75.7872,1,Normal,0.0319458739181438,25,LOW,Severe project delay
MPLADS_0124,Maharashtra,District_2,Drainage,1134309,1101690,1923980,10,22,Agency_3,Not Started,19.436917,74.824928,1,Normal,0.0361556321088797,50,MEDIUM,"Expenditure exceeds sanctioned amount, Low progress with high expenditure"
MPLADS_0125,Karnataka,District_2,Drainage,2479151,2960086,1517394,69,67,Agency_1,Completed,15.869042,75.883294,1,Normal,0.0888203644944855,0,LOW,No major risk detected
MPLADS_0126,Tamil Nadu,District_28,Road,91743,99768,2989845,61,397,Agency_18,Delayed,11.091464,78.031731,1,Normal,0.0076256346456611,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0127,Kerala,District_13,School,220948,3506000,2722188,46,446,Agency_12,Delayed,9.554542,77.265979,1,Normal,0.0360619984559174,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0128,Karnataka,District_15,Hospital,3719021,3828271,264265,33,372,Agency_9,Completed,16.845241,74.644521,1,Normal,0.0584745339022932,25,LOW,Severe project delay
MPLADS_0129,Karnataka,District_28,School,551793,2313557,4723797,99,361,Agency_9,Completed,17.579276,76.242184,1,Normal,0.0122141229255361,55,MEDIUM,"Expenditure exceeds sanctioned amount, Severe project delay"
MPLADS_0130,Andhra Pradesh,District_23,Drainage,376284,2150326,920913,100,92,Agency_18,Delayed,18.504045,83.178828,-1,Anomaly,-0.0125430592290269,65,HIGH,"Expenditure exceeds sanctioned amount, Project delay, AI detected unusual pattern"
MPLADS_0131,Karnataka,District_12,Drainage,1880314,167769,2067017,16,320,Agency_18,Completed,14.476495,74.103359,1,Normal,0.0603069266942978,75,HIGH,"Expenditure exceeds sanctioned amount, Severe project delay, Low progress with high expenditure"
MPLADS_0132,Maharashtra,District_26,Drinking Water,3827341,347542,663817,53,323,Agency_7,Completed,17.346403,77.095564,1,Normal,0.0687796673504165,25,LOW,Severe project delay
