work_id,mp_name,work,category,state,constituency,district,city,ward,block,village,recommended_date,allocation_amount,ida_approval,status,house,days_since_recommendation,approval_pending,unsanctioned,state_work_count,constituency_work_count,category_work_count,allocation_amount_ratio,allocation_amount_log,work_description_length,location_completeness,approval_status_risk,old_pending_signal,Anomaly,Anomaly_Status,Anomaly_Score,Anomaly_Risk_Score,Risk_Score,Risk_Level,Risk_Reasons
MPLADS-000029,Demo MP 29,Demo MPLADS work 29 - Street Lighting,Street Lighting,WEST BENGAL,Kolkata,,Demo City 5,Ward 9,Block 5,Demo Village 14,2025-10-20,2500000,PENDING,ONGOING,LOK SABHA,324.0,1,0,4,4,5,2.083333333333333,14.731801689838347,37,4,1,1,1,Normal,0.0195891843490392,79.62,46,MEDIUM,High AI anomaly score; Approval is pending; Work has remained pending for a long period; Work recommendation is relatively old; Allocation amount is higher than the typical dataset value
MPLADS-000030,Demo MP 30,Demo MPLADS work 30 - Community Hall,Community Hall,ODISHA,Bhubaneswar,,Demo City 6,Ward 10,Block 6,Demo Village 15,,3200000,YES,APPROVED,LOK SABHA,0.0,0,0,4,4,5,2.6666666666666665,14.978661680269909,36,4,0,0,1,Normal,0.1177989677205653,29.67,5,LOW,Allocation amount is higher than the typical dataset value
MPLADS-000031,Demo MP 31,Demo MPLADS work 31 - Drainage,Drainage,ANDHRA PRADESH,Guntur,,Demo City 7,Ward 11,Block 7,Demo Village 1,,450000,YES,COMPLETED,RAJYA SABHA,0.0,0,0,4,4,5,0.375,13.017005083966255,30,4,0,0,1,Normal,0.0617066212938391,58.2,0,LOW,No major risk indicators detected
MPLADS-000032,Demo MP 32,Demo MPLADS work 32 - Public Sanitation,Public Sanitation,TELANGANA,Warangal,,Demo City 8,Ward 12,Block 8,Demo Village 2,2025-12-28,750000,YES,PENDING,LOK SABHA,255.0,0,0,4,4,5,0.625,13.527829818844936,39,4,0,0,1,Normal,0.1275776337561953,24.7,4,LOW,Work recommendation is relatively old
MPLADS-000033,Demo MP 33,Demo MPLADS work 33 - Road Development,Road Development,KARNATAKA,Bengaluru Rural,,Demo City 1,Ward 13,Block 9,Demo Village 3,2026-01-20,1200000,PENDING,UNDER IMPLEMENTATION,LOK SABHA,232.0,1,0,4,4,5,1.0,13.997832948091215,38,4,1,1,1,Normal,0.0209824958932181,78.91,41,MEDIUM,High AI anomaly score; Approval is pending; Work has remained pending for a long period; Work recommendation is relatively old
MPLADS-000034,Demo MP 34,Demo MPLADS work 34 - Drinking Water,Drinking Water,TAMIL NADU,Madurai,,Demo City 2,Ward 14,Block 10,Demo Village 4,,1800000,YES,ONGOING,RAJYA SABHA,0.0,0,0,4,4,5,1.5,14.403297778421797,36,4,0,0,1,Normal,0.1645984820639472,5.87,0,LOW,No major risk indicators detected
MPLADS-000035,Demo MP 35,Demo MPLADS work 35 - School Infrastructure,School Infrastructure,RAJASTHAN,Jaipur Rural,,Demo City 3,Ward 15,Block 11,Demo Village 5,,2500000,YES,APPROVED,LOK SABHA,0.0,0,0,4,4,5,2.083333333333333,14.731801689838347,43,4,0,0,1,Normal,0.1107465205972964,33.26,5,LOW,Allocation amount is higher than the typical dataset value
MPLADS-000036,Demo MP 36,Demo MPLADS work 36 - Health Infrastructure,Health Infrastructure,UTTAR PRADESH,Lucknow,,Demo City 4,Ward 16,Block 12,Demo Village 6,2026-03-30,3200000,YES,COMPLETED,LOK SABHA,163.0,0,0,4,4,5,2.6666666666666665,14.978661680269909,43,4,0,0,1,Normal,0.0577853405179834,60.19,13,LOW,Elevated AI anomaly score; Allocation amount is higher than the typical dataset value
MPLADS-000037,Demo MP 37,Demo MPLADS work 37 - Street Lighting,Street Lighting,BIHAR,Patna,,Demo City 5,Ward 17,Block 1,Demo Village 7,2026-04-22,450000,PENDING,PENDING,RAJYA SABHA,140.0,1,0,4,4,5,0.375,13.017005083966255,37,4,1,0,-1,Anomaly,-0.020482944863679,100.0,60,MEDIUM,AI detected an unusual project pattern; Very high AI anomaly score; Approval is pending
MPLADS-000038,Demo MP 38,Demo MPLADS work 38 - Community Hall,Community Hall,MAHARASHTRA,Pune,,Demo City 6,Ward 18,Block 2,Demo Village 8,2026-05-15,750000,YES,UNDER IMPLEMENTATION,LOK SABHA,117.0,0,0,4,4,5,0.625,13.527829818844936,36,4,0,0,1,Normal,0.1504601486347503,13.06,0,LOW,No major risk indicators detected
MPLADS-000039,Demo MP 39,Demo MPLADS work 39 - Drainage,Drainage,WEST BENGAL,Kolkata,,Demo City 7,Ward 19,Block 3,Demo Village 9,,1200000,YES,ONGOING,LOK SABHA,0.0,0,0,4,4,5,1.0,13.997832948091215,30,4,0,0,1,Normal,0.1111741748975122,33.04,0,LOW,No major risk indicators detected
MPLADS-000040,Demo MP 40,Demo MPLADS work 40 - Public Sanitation,Public Sanitation,ODISHA,Bhubaneswar,,Demo City 8,Ward 20,Block 4,Demo Village 10,2026-06-30,1800000,YES,APPROVED,RAJYA SABHA,71.0,0,0,4,4,5,1.5,14.403297778421797,39,4,0,0,1,Normal,0.1460175197523243,15.32,0,LOW,No major risk indicators detected
