work_id,state,district,work_description,work_type,sanction_amount,estimated_cost,expenditure,progress_percentage,status,anomaly,anomaly_status,anomaly_risk_score,risk_score,risk_level,risk_reasons,expenditure_ratio,progress_expenditure_gap,delay_flag,Work_ID,State,District,Work_Description,Work_Type,Sanction_Amount,Estimated_Cost,Expenditure,Progress_Percentage,Status,Anomaly,Anomaly_Status,Anomaly_Risk_Score,Risk_Score,Risk_Level,Risk_Reasons,Expenditure_Ratio,Progress_Expenditure_Gap,Delay_Flag
P111,Maharashtra,Pune,Water supply pipeline extension,Water Supply,900000,700000,680000,35,Delayed,1,Anomaly,90,100,CRITICAL,Multiple unusual project patterns detected; Project is delayed; Low progress despite high expenditure; Progress and expenditure mismatch; Sanction amount is significantly above estimated cost,0.7556,40.56,1,P111,Maharashtra,Pune,Water supply pipeline extension,Water Supply,900000,700000,680000,35,Delayed,1,Anomaly,90,100,CRITICAL,Multiple unusual project patterns detected; Project is delayed; Low progress despite high expenditure; Progress and expenditure mismatch; Sanction amount is significantly above estimated cost,0.7556,40.56,1
P112,Gujarat,Ahmedabad,Government hospital equipment support,Health,1100000,900000,850000,30,In Progress,1,Anomaly,80,85,CRITICAL,Multiple unusual project patterns detected; Low progress despite high expenditure; Progress and expenditure mismatch; Sanction amount is significantly above estimated cost,0.7727,47.27,0,P112,Gujarat,Ahmedabad,Government hospital equipment support,Health,1100000,900000,850000,30,In Progress,1,Anomaly,80,85,CRITICAL,Multiple unusual project patterns detected; Low progress despite high expenditure; Progress and expenditure mismatch; Sanction amount is significantly above estimated cost,0.7727,47.27,0
P113,Andhra Pradesh,Nellore,Rural road improvement,Roads,1000000,800000,780000,45,Delayed,1,Anomaly,80,90,CRITICAL,Multiple unusual project patterns detected; Project is delayed; Low progress despite high expenditure; Sanction amount is significantly above estimated cost,0.78,33,1,P113,Andhra Pradesh,Nellore,Rural road improvement,Roads,1000000,800000,780000,45,Delayed,1,Anomaly,80,90,CRITICAL,Multiple unusual project patterns detected; Project is delayed; Low progress despite high expenditure; Sanction amount is significantly above estimated cost,0.78,33,1
P114,Jharkhand,Ranchi,School building repair,Education,650000,500000,480000,20,Delayed,1,Anomaly,90,100,CRITICAL,Multiple unusual project patterns detected; Project is delayed; Low progress despite high expenditure; Progress and expenditure mismatch; Sanction amount is significantly above estimated cost; Sanction amount is substantially above estimated cost,0.7385,53.85,1,P114,Jharkhand,Ranchi,School building repair,Education,650000,500000,480000,20,Delayed,1,Anomaly,90,100,CRITICAL,Multiple unusual project patterns detected; Project is delayed; Low progress despite high expenditure; Progress and expenditure mismatch; Sanction amount is significantly above estimated cost; Sanction amount is substantially above estimated cost,0.7385,53.85,1
P115,Madhya Pradesh,Bhopal,Community water tank,Water Supply,400000,410000,100000,15,Delayed,0,Normal,0,20,LOW,Project is delayed,0.25,10,1,P115,Madhya Pradesh,Bhopal,Community water tank,Water Supply,400000,410000,100000,15,Delayed,0,Normal,0,20,LOW,Project is delayed,0.25,10,1
P116,Kerala,Kozhikode,Public library renovation,Education,550000,560000,520000,85,Completed,0,Normal,0,0,LOW,No significant risk signal detected,0.9455,9.55,0,P116,Kerala,Kozhikode,Public library renovation,Education,550000,560000,520000,85,Completed,0,Normal,0,0,LOW,No significant risk signal detected,0.9455,9.55,0
P117,Punjab,Amritsar,Street drainage repair,Drainage,800000,600000,590000,25,Delayed,1,Anomaly,90,100,CRITICAL,Multiple unusual project patterns detected; Project is delayed; Low progress despite high expenditure; Progress and expenditure mismatch; Sanction amount is significantly above estimated cost; Sanction amount is substantially above estimated cost,0.7375,48.75,1,P117,Punjab,Amritsar,Street drainage repair,Drainage,800000,600000,590000,25,Delayed,1,Anomaly,90,100,CRITICAL,Multiple unusual project patterns detected; Project is delayed; Low progress despite high expenditure; Progress and expenditure mismatch; Sanction amount is significantly above estimated cost; Sanction amount is substantially above estimated cost,0.7375,48.75,1
P118,Assam,Guwahati,Solar lighting for public area,Energy,700000,450000,430000,30,Delayed,1,Anomaly,70,85,CRITICAL,Multiple unusual project patterns detected; Project is delayed; Sanction amount is significantly above estimated cost; Sanction amount is substantially above estimated cost,0.6143,31.43,1,P118,Assam,Guwahati,Solar lighting for public area,Energy,700000,450000,430000,30,Delayed,1,Anomaly,70,85,CRITICAL,Multiple unusual project patterns detected; Project is delayed; Sanction amount is significantly above estimated cost; Sanction amount is substantially above estimated cost,0.6143,31.43,1
P119,Chhattisgarh,Raipur,Rural health centre renovation,Health,1300000,1000000,950000,35,Delayed,1,Anomaly,90,100,CRITICAL,Multiple unusual project patterns detected; Project is delayed; Low progress despite high expenditure; Progress and expenditure mismatch; Sanction amount is significantly above estimated cost; Sanction amount is substantially above estimated cost,0.7308,38.08,1,P119,Chhattisgarh,Raipur,Rural health centre renovation,Health,1300000,1000000,950000,35,Delayed,1,Anomaly,90,100,CRITICAL,Multiple unusual project patterns detected; Project is delayed; Low progress despite high expenditure; Progress and expenditure mismatch; Sanction amount is significantly above estimated cost; Sanction amount is substantially above estimated cost,0.7308,38.08,1
P120,Rajasthan,Jaipur,Road resurfacing project,Roads,900000,750000,700000,80,In Progress,0,Normal,0,10,LOW,Sanction amount is significantly above estimated cost,0.7778,-2.22,0,P120,Rajasthan,Jaipur,Road resurfacing project,Roads,900000,750000,700000,80,In Progress,0,Normal,0,10,LOW,Sanction amount is significantly above estimated cost,0.7778,-2.22,0
